source,tag,model,n_params_approx,baseline_ppl,compressed_ppl,ratio,gptq_ref,margin_vs_gptq,beats_gptq,angular,bit_budget_bpw,block_cov,cone_aware,dampening,device_map,group_dim,group_size,hadamard,hessian_batches,ip_metric,lloyd_max,max_memory_headroom_gib,max_memory_per_gpu,niter,qjl,qjl_n_projections,rank,residual_bits,strict_sequential,tangent,use_compensation,whitening
results_v6\scale_test\qwen3-4b\strict_damp004_rep2_seed44.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.04}_44",qwen3-4b,,15.8522,17.7223,1.11797,1.09164,-0.026336,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp005_rep0_seed42.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.05}_42",qwen3-4b,,15.8522,16.527,1.04257,1.09164,0.049067,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp005_rep1_seed43.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.05}_43",qwen3-4b,,15.8522,17.0006,1.07244,1.09164,0.019195,1,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp005_rep2_seed44.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.05}_44",qwen3-4b,,15.8522,17.5826,1.10916,1.09164,-0.017522,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp006_rep0_seed42.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.06}_42",qwen3-4b,,15.8522,16.9475,1.06909,1.09164,0.022541,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp006_rep1_seed43.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.06}_43",qwen3-4b,,15.8522,17.2107,1.08569,1.09164,0.005943,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\scale_test\qwen3-4b\strict_damp006_rep2_seed44.json,"qwen3-4b_{'strict_sequential': True, 'dampening': 0.06}_44",qwen3-4b,,15.8522,17.0992,1.07866,1.09164,0.012975,1,0,4.2875,0,0,0.06,,0,128,0,1,0,0,3,,5,0,0,8,4,1,0,1,0
results_v6\stat_grid\block_damp005_rep0_seed42.json,block_damp005_rep0_seed42,smollm-135M,1.35e+08,21.3072,25.1835,1.18192,1.1761,-0.005824,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\block_damp005_rep1_seed43.json,block_damp005_rep1_seed43,smollm-135M,1.35e+08,21.3072,25.4708,1.19541,1.1761,-0.01931,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\block_damp005_rep2_seed44.json,block_damp005_rep2_seed44,smollm-135M,1.35e+08,21.3072,25.4617,1.19498,1.1761,-0.018879,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\block_damp01_rep0_seed42.json,block_damp01_rep0_seed42,smollm-135M,1.35e+08,21.3072,24.9766,1.17222,1.1761,0.003885,1,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\block_damp01_rep1_seed43.json,block_damp01_rep1_seed43,smollm-135M,1.35e+08,21.3072,25.3382,1.18918,1.1761,-0.013082,0,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\block_damp01_rep2_seed44.json,block_damp01_rep2_seed44,smollm-135M,1.35e+08,21.3072,25.1878,1.18213,1.1761,-0.006028,0,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\qwen2.5-0.5b\block_damp005_rep0_seed42.json,block_damp005_rep0_seed42,qwen2.5-0.5B,4.94e+08,14.9356,17.7271,1.1869,1.1407,-0.046204,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\qwen2.5-0.5b\block_damp005_rep1_seed43.json,block_damp005_rep1_seed43,qwen2.5-0.5B,4.94e+08,14.9356,17.6,1.1784,1.1407,-0.037695,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\qwen2.5-0.5b\block_damp005_rep2_seed44.json,block_damp005_rep2_seed44,qwen2.5-0.5B,4.94e+08,14.9356,17.849,1.19507,1.1407,-0.054365,0,0,4.2875,0,0,0.05,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\qwen2.5-0.5b\block_damp01_rep0_seed42.json,block_damp01_rep0_seed42,qwen2.5-0.5B,4.94e+08,14.9356,17.7049,1.18542,1.1407,-0.044716,0,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\qwen2.5-0.5b\block_damp01_rep1_seed43.json,block_damp01_rep1_seed43,qwen2.5-0.5B,4.94e+08,14.9356,17.4802,1.17038,1.1407,-0.029676,0,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\qwen2.5-0.5b\block_damp01_rep2_seed44.json,block_damp01_rep2_seed44,qwen2.5-0.5B,4.94e+08,14.9356,17.7315,1.1872,1.1407,-0.046498,0,0,4.2875,0,0,0.1,,0,128,0,1,0,0,,,,0,0,8,4,0,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp004_rep0_seed42.json,strict_damp004_rep0_seed42,qwen2.5-0.5B,4.94e+08,14.9356,17.7824,1.19061,1.1407,-0.04991,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp004_rep1_seed43.json,strict_damp004_rep1_seed43,qwen2.5-0.5B,4.94e+08,14.9356,17.471,1.16976,1.1407,-0.02906,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
results_v6\stat_grid\qwen2.5-0.5b\strict_damp004_rep2_seed44.json,strict_damp004_rep2_seed44,qwen2.5-0.5B,4.94e+08,14.9356,17.8925,1.19798,1.1407,-0.057279,0,0,4.2875,0,0,0.04,,0,128,0,1,0,0,,,,0,0,8,4,1,0,1,
